stn	dist	azm	ain	ain'	az	Polaridad
MAM1	7	288.8	174.7	5.3	108.8	
MAM1	7	288.8	174.7	5.3	108.8	
PB08	25	87.8	161.2	18.8	267.8	
PB08	25	87.8	161.2	18.8	267.8	
APAC	37	359.5	153.5	26.5	179.5	
APAC	37	359.5	153.5	26.5	179.5	
PICL	41	159.7	150.4	29.6	339.7	
PICL	41	159.7	150.4	29.6	339.7	
PB11	51	327.8	144.5	35.5	147.8	
PB11	51	327.8	144.5	35.5	147.8	
SOG1	58	336.3	140.6	39.4	156.3	
SOG1	58	336.3	140.6	39.4	156.3	
PINT	68	180.3	135.7	44.3	0.3	
PINT	68	180.3	135.7	44.3	0.3	
SOG2	69	1.5	135.6	44.4	181.5	
SOG2	69	1.5	135.6	44.4	181.5	
UNAP	78	262.6	130.5	49.5	82.6	
UNAP	78	262.6	130.5	49.5	82.6	
PATA	87	226.4	127.3	52.7	46.4	
PATA	87	226.4	127.3	52.7	46.4	
PSGCX	98	308.7	123.5	56.5	128.7	
PSGCX	98	308.7	123.5	56.5	128.7	
PB01	99	185.4	122.9	57.1	5.4	
PB01	99	185.4	122.9	57.1	5.4	
MNMCX	115	349.5	118.4	61.6	169.5	
MNMCX	115	349.5	118.4	61.6	169.5	
CHOM	122	211.4	116.4	63.6	31.4	
CHOM	122	211.4	116.4	63.6	31.4	
PB02	140	201.8	112.5	67.5	21.8	
PB02	140	201.8	112.5	67.5	21.8	
PB07	182	196.2	106	74	16.2	
PB07	182	196.2	106	74	16.2	
PB09	183	175	105.9	74.1	355	
PB09	183	175	105.9	74.1	355	
						
						
unweighted	rms	=	0.34			
